Layer name;Wed_Mar_24_02_11_55_2004---Sat_Apr_24_00_30_38_2004;Wed_Mar_24_02_11_55_2004---Sat_Apr_24_00_30_38_2004;Wed_Mar_24_02_11_55_2004---Sat_Apr_24_00_30_38_2004;Sat_Apr_24_00_57_38_2004---Mon_May_24_21_44_12_2004;Sat_Apr_24_00_57_38_2004---Mon_May_24_21_44_12_2004;Sat_Apr_24_00_57_38_2004---Mon_May_24_21_44_12_2004;Mon_May_24_21_48_09_2004---Thu_Jun_24_18_43_14_2004;Mon_May_24_21_48_09_2004---Thu_Jun_24_18_43_14_2004;Mon_May_24_21_48_09_2004---Thu_Jun_24_18_43_14_2004;Thu_Jun_24_21_25_43_2004---Sun_Jul_25_15_52_25_2004;Thu_Jun_24_21_25_43_2004---Sun_Jul_25_15_52_25_2004;Thu_Jun_24_21_25_43_2004---Sun_Jul_25_15_52_25_2004;Sun_Jul_25_16_22_15_2004---Wed_Aug_25_13_23_15_2004;Sun_Jul_25_16_22_15_2004---Wed_Aug_25_13_23_15_2004;Sun_Jul_25_16_22_15_2004---Wed_Aug_25_13_23_15_2004;Wed_Aug_25_15_03_21_2004---Sat_Sep_25_10_18_52_2004;Wed_Aug_25_15_03_21_2004---Sat_Sep_25_10_18_52_2004;Wed_Aug_25_15_03_21_2004---Sat_Sep_25_10_18_52_2004;Sat_Sep_25_16_29_27_2004---Tue_Oct_26_07_52_22_2004;Sat_Sep_25_16_29_27_2004---Tue_Oct_26_07_52_22_2004;Sat_Sep_25_16_29_27_2004---Tue_Oct_26_07_52_22_2004
1512;11;9;0.064;20;18;0.128;87;80;0.567;23;15;0.106;2;1;0.007;10;7;0.05;1;0;0
1077;4;4;0.154;6;6;0.231;6;5;0.192;1;0;0;4;3;0.115;7;6;0.231;1;0;0
671;2;2;0.1;5;5;0.25;1;0;0;6;5;0.25;4;3;0.15;3;2;0.1;2;1;0.05
1771;1;1;0.031;1;1;0.031;10;9;0.281;10;9;0.281;2;1;0.031;1;1;0.031;9;8;0.25
615;1;0;0;10;10;0.556;1;0;0;3;3;0.167;2;1;0.056;2;1;0.056;1;1;0.056
941;1;1;0.017;1;1;0.017;43;41;0.707;9;7;0.121;1;1;0.017;1;1;0.017;5;4;0.069
566;4;4;0.16;5;5;0.2;4;3;0.12;4;2;0.08;10;8;0.32;1;0;0;1;0;0
1864;21;18;0.261;13;8;0.116;10;8;0.116;22;15;0.217;5;2;0.029;5;4;0.058;5;4;0.058
1031;1;1;0.021;36;33;0.688;3;2;0.042;8;4;0.083;1;0;0;1;1;0.021;3;3;0.062
438;1;1;0.02;17;16;0.314;2;2;0.039;2;1;0.02;26;26;0.51;2;2;0.039;2;2;0.039
1073;3;2;0.182;1;0;0;2;2;0.182;4;3;0.273;1;0;0;1;0;0;2;2;0.182
1083;4;3;0.094;1;1;0.031;17;15;0.469;4;3;0.094;6;5;0.156;2;1;0.031;2;1;0.031
672;3;1;0.02;25;22;0.431;3;2;0.039;15;12;0.235;10;6;0.118;2;0;0;1;1;0.02
317;1;1;0.004;216;206;0.821;34;27;0.108;5;3;0.012;1;0;0;4;2;0.008;1;1;0.004
748;3;3;0.086;1;1;0.029;9;9;0.257;1;1;0.029;3;2;0.057;18;17;0.486;1;1;0.029
993;3;1;0.01;66;56;0.56;20;13;0.13;19;12;0.12;2;1;0.01;3;2;0.02;3;2;0.02
673;4;3;0.077;10;10;0.256;5;4;0.103;12;11;0.282;4;3;0.077;3;2;0.051;4;4;0.103
203;1;1;0.006;88;77;0.443;86;73;0.42;2;1;0.006;10;6;0.034;2;0;0;1;1;0.006
678;14;11;0.141;14;12;0.154;30;24;0.308;12;10;0.128;4;3;0.038;10;8;0.103;3;2;0.026
56;7;5;0.033;104;95;0.621;39;31;0.203;4;4;0.026;1;1;0.007;7;4;0.026;3;2;0.013
670;3;1;0.037;17;15;0.556;3;1;0.037;1;1;0.037;2;1;0.037;4;2;0.074;2;1;0.037
1078;2;1;0.022;8;7;0.152;29;26;0.565;3;2;0.043;1;0;0;6;5;0.109;1;1;0.022
192;1;0;0;7;5;0.062;59;57;0.704;6;6;0.074;1;0;0;6;6;0.074;5;3;0.037
1480;7;5;0.082;33;31;0.508;19;19;0.311;1;0;0;1;0;0;2;2;0.033;2;1;0.016
918;1;1;0.026;12;11;0.289;5;4;0.105;16;13;0.342;1;0;0;3;3;0.079;4;3;0.079
361;1;1;0.04;14;14;0.56;3;2;0.08;3;2;0.08;5;4;0.16;1;0;0;1;0;0
152;1;1;0.029;11;10;0.286;6;6;0.171;12;11;0.314;4;3;0.086;1;0;0;3;2;0.057
26;1;1;0.018;36;36;0.632;8;8;0.14;9;9;0.158;1;1;0.018;1;1;0.018;1;1;0.018
676;2;1;0.029;5;5;0.147;8;8;0.235;6;6;0.176;8;8;0.235;5;4;0.118;1;1;0.029
1075;2;2;0.032;24;24;0.381;24;24;0.381;5;4;0.063;5;5;0.079;2;1;0.016;3;2;0.032
1563;4;3;0.049;32;30;0.492;17;16;0.262;9;8;0.131;2;0;0;1;0;0;1;0;0
568;2;1;0.017;42;40;0.69;2;1;0.017;7;6;0.103;3;1;0.017;4;4;0.069;2;1;0.017
1545;2;2;0.019;72;70;0.68;15;14;0.136;14;11;0.107;2;1;0.01;2;0;0;1;0;0
1076;3;2;0.044;17;15;0.333;19;19;0.422;2;1;0.022;5;4;0.089;1;0;0;1;1;0.022
1631;1;0;0;13;10;0.312;2;1;0.031;16;14;0.438;1;0;0;2;1;0.031;3;2;0.062
1072;3;2;0.027;27;24;0.324;26;23;0.311;8;7;0.095;15;13;0.176;1;0;0;1;0;0
1529;1;1;0.018;1;1;0.018;18;17;0.309;4;2;0.036;25;24;0.436;7;6;0.109;2;2;0.036
1650;6;4;0.148;2;2;0.074;10;8;0.296;8;7;0.259;1;0;0;2;1;0.037;3;2;0.074
369;1;0;0;8;7;0.092;6;3;0.039;4;4;0.053;3;2;0.026;57;54;0.711;3;2;0.026
1557;4;4;0.077;2;2;0.038;37;37;0.712;3;2;0.038;5;4;0.077;3;2;0.038;1;0;0
818;1;1;0.018;18;18;0.316;24;23;0.404;6;4;0.07;3;1;0.018;1;0;0;9;7;0.123
1071;2;1;0.017;45;43;0.717;11;10;0.167;1;1;0.017;1;1;0.017;1;1;0.017;1;1;0.017
1066;1;1;0.008;14;11;0.083;1;0;0;100;93;0.699;22;18;0.135;2;1;0.008;2;2;0.015
1158;6;5;0.179;5;3;0.107;11;9;0.321;2;1;0.036;1;0;0;4;3;0.107;4;4;0.143
1537;2;1;0.037;4;2;0.074;13;11;0.407;8;7;0.259;1;0;0;1;1;0.037;2;2;0.074
523;1;0;0;16;14;0.519;4;3;0.111;3;3;0.111;3;2;0.074;2;2;0.074;1;1;0.037
573;2;1;0.023;4;3;0.068;24;24;0.545;5;5;0.114;1;1;0.023;5;4;0.091;5;4;0.091
1855;9;9;0.188;16;16;0.333;11;11;0.229;8;8;0.167;2;2;0.042;1;0;0;2;1;0.021
278;1;0;0;58;58;0.806;8;8;0.111;1;1;0.014;1;1;0.014;2;2;0.028;2;1;0.014
55;3;2;0.017;5;4;0.034;12;10;0.084;100;97;0.815;1;0;0;2;1;0.008;1;1;0.008
362;1;1;0.024;28;27;0.643;4;2;0.048;3;2;0.048;5;5;0.119;1;0;0;3;3;0.071
1482;4;3;0.051;12;11;0.186;31;30;0.508;1;1;0.017;6;5;0.085;3;3;0.051;4;4;0.068
223;1;1;0.024;16;16;0.381;15;14;0.333;1;1;0.024;7;6;0.143;2;2;0.048;1;1;0.024
1484;2;1;0.042;6;5;0.208;9;7;0.292;1;1;0.042;6;5;0.208;2;0;0;2;1;0.042
1789;3;2;0.133;4;3;0.2;6;5;0.333;2;2;0.133;1;0;0;1;0;0;1;0;0
756;4;4;0.121;1;1;0.03;12;11;0.333;1;1;0.03;1;0;0;13;13;0.394;2;2;0.061
433;1;0;0;8;5;0.111;14;12;0.267;2;2;0.044;22;18;0.4;2;2;0.044;2;1;0.022
553;1;0;0;2;1;0.048;2;1;0.048;1;1;0.048;8;7;0.333;2;2;0.095;8;7;0.333
1079;2;1;0.019;33;32;0.604;11;11;0.208;1;1;0.019;1;0;0;3;3;0.057;4;3;0.057
1485;4;3;0.071;16;15;0.357;7;6;0.143;2;2;0.048;12;11;0.262;3;2;0.048;2;0;0
94;1;1;0.048;8;8;0.381;7;7;0.333;1;1;0.048;1;0;0;4;3;0.143;1;0;0
1790;2;0;0;49;46;0.719;1;0;0;2;2;0.031;12;11;0.172;1;0;0;2;1;0.016
1494;1;0;0;145;143;0.861;15;15;0.09;1;1;0.006;3;3;0.018;2;2;0.012;1;0;0
1112;1;0;0;8;6;0.207;3;1;0.034;2;2;0.069;9;5;0.172;1;1;0.034;11;9;0.31
1488;2;1;0.022;2;1;0.022;19;18;0.391;1;1;0.022;22;21;0.457;2;2;0.043;1;0;0
447;2;1;0.053;2;1;0.053;8;7;0.368;2;2;0.105;2;1;0.053;4;4;0.211;1;1;0.053
1080;3;3;0.081;3;3;0.081;19;19;0.514;7;7;0.189;1;1;0.027;1;1;0.027;3;3;0.081
333;1;1;0.012;59;57;0.679;13;11;0.131;4;4;0.048;4;4;0.048;2;2;0.024;3;3;0.036
1255;1;1;0.062;4;4;0.25;5;4;0.25;2;2;0.125;4;4;0.25;1;0;0;1;0;0
1411;1;1;0.007;71;67;0.482;17;11;0.079;1;0;0;57;51;0.367;1;0;0;1;0;0
561;1;1;0.014;34;31;0.443;12;11;0.157;17;15;0.214;7;7;0.1;1;1;0.014;1;1;0.014
978;1;0;0;4;2;0.043;27;26;0.553;12;11;0.234;2;1;0.021;3;3;0.064;1;1;0.021
1374;1;1;0.029;1;1;0.029;16;16;0.457;7;6;0.171;7;5;0.143;2;1;0.029;3;3;0.086
821;1;1;0.025;1;1;0.025;17;15;0.375;1;0;0;2;2;0.05;17;16;0.4;3;3;0.075
1540;3;3;0.057;4;4;0.075;26;25;0.472;1;0;0;9;8;0.151;1;1;0.019;11;10;0.189
198;1;1;0.026;8;8;0.205;23;22;0.564;5;4;0.103;1;1;0.026;1;1;0.026;1;1;0.026
572;2;1;0.045;1;1;0.045;6;5;0.227;6;5;0.227;5;5;0.227;1;1;0.045;3;2;0.091
214;1;0;0;1;1;0.033;17;15;0.5;3;2;0.067;3;3;0.1;5;5;0.167;3;1;0.033
322;1;0;0;31;30;0.556;7;6;0.111;2;1;0.019;11;10;0.185;1;1;0.019;4;3;0.056
1486;2;1;0.02;31;30;0.588;6;4;0.078;2;2;0.039;6;4;0.078;1;1;0.02;7;5;0.098
1559;2;0;0;4;1;0.024;21;20;0.488;10;10;0.244;4;2;0.049;1;1;0.024;3;3;0.073
1630;1;0;0;29;28;0.406;14;12;0.174;21;20;0.29;2;1;0.014;4;4;0.058;2;1;0.014
308;1;1;0.034;2;2;0.069;10;10;0.345;8;7;0.241;7;6;0.207;1;1;0.034;1;1;0.034
15;1;0;0;2;1;0.014;58;58;0.841;6;6;0.087;1;1;0.014;1;1;0.014;2;1;0.014
442;1;0;0;2;1;0.018;29;28;0.491;10;10;0.175;14;13;0.228;1;1;0.018;2;2;0.035
1755;1;1;0.021;25;24;0.5;17;17;0.354;1;0;0;3;3;0.062;1;1;0.021;1;1;0.021
403;2;2;0.022;73;70;0.761;14;12;0.13;3;2;0.022;1;1;0.011;1;1;0.011;1;1;0.011
1111;1;1;0.042;1;1;0.042;2;2;0.083;16;16;0.667;1;1;0.042;1;1;0.042;2;2;0.083
202;1;0;0;3;3;0.176;6;6;0.353;2;1;0.059;2;2;0.118;1;1;0.059;3;3;0.176
1479;3;2;0.065;2;1;0.032;13;12;0.387;2;2;0.065;9;8;0.258;1;1;0.032;3;3;0.097
1049;1;0;0;39;36;0.6;15;14;0.233;1;1;0.017;1;1;0.017;1;1;0.017;5;4;0.067
1618;1;0;0;9;6;0.214;10;9;0.321;8;8;0.286;2;1;0.036;1;1;0.036;1;0;0
1863;3;2;0.074;4;3;0.111;8;8;0.296;4;4;0.148;6;5;0.185;1;1;0.037;3;3;0.111
1857;5;4;0.167;2;2;0.083;4;4;0.167;3;3;0.125;4;4;0.167;1;1;0.042;6;5;0.208
1858;3;3;0.12;13;13;0.52;3;3;0.12;3;3;0.12;1;1;0.04;1;1;0.04;1;1;0.04
404;2;2;0.032;51;50;0.794;4;4;0.063;4;2;0.032;1;1;0.016;1;1;0.016;2;1;0.016
42;3;2;0.062;5;5;0.156;8;8;0.25;4;3;0.094;3;3;0.094;1;1;0.031;10;8;0.25
1856;2;1;0.029;2;1;0.029;19;19;0.543;1;1;0.029;1;1;0.029;10;10;0.286;2;1;0.029
1861;2;1;0.019;28;28;0.528;11;10;0.189;6;6;0.113;3;3;0.057;1;1;0.019;3;3;0.057
409;4;4;0.042;35;31;0.323;49;44;0.458;2;1;0.01;7;7;0.073;1;0;0;4;4;0.042
1160;3;2;0.059;18;16;0.471;10;8;0.235;3;2;0.059;2;2;0.059;1;0;0;1;1;0.029
1862;2;1;0.034;2;1;0.034;19;19;0.655;1;0;0;4;3;0.103;1;1;0.034;2;2;0.069
1161;8;6;0.231;8;6;0.231;5;3;0.115;6;5;0.192;2;1;0.038;1;1;0.038;1;0;0
1564;4;4;0.138;9;9;0.31;2;1;0.034;10;10;0.345;3;3;0.103;1;1;0.034;1;0;0
408;2;1;0.038;5;4;0.154;4;4;0.154;2;2;0.077;12;12;0.462;1;1;0.038;1;1;0.038
237;1;0;0;7;6;0.261;8;8;0.348;3;3;0.13;3;3;0.13;1;1;0.043;1;1;0.043
1786;2;2;0.025;2;2;0.025;68;68;0.861;1;1;0.013;4;4;0.051;1;1;0.013;1;1;0.013
406;5;4;0.085;5;4;0.085;26;26;0.553;1;1;0.021;2;2;0.043;1;1;0.021;8;8;0.17
754;2;2;0.022;19;17;0.187;65;61;0.67;3;2;0.022;3;2;0.022;1;1;0.011;2;2;0.022
1561;3;3;0.176;1;1;0.059;4;3;0.176;6;5;0.294;1;1;0.059;1;1;0.059;2;2;0.118
1788;2;1;0.021;27;25;0.521;12;11;0.229;6;6;0.125;1;1;0.021;1;1;0.021;1;1;0.021
1860;2;2;0.1;1;0;0;11;10;0.5;4;4;0.2;1;1;0.05;1;1;0.05;1;1;0.05
1156;3;2;0.111;1;0;0;5;4;0.222;2;2;0.111;4;4;0.222;1;1;0.056;4;3;0.167
40;2;1;0.042;3;3;0.125;8;8;0.333;3;3;0.125;6;6;0.25;1;1;0.042;2;1;0.042
407;4;3;0.094;5;4;0.125;12;12;0.375;4;4;0.125;6;6;0.188;1;1;0.031;1;1;0.031
1560;3;3;0.036;59;59;0.702;16;16;0.19;2;2;0.024;2;2;0.024;1;1;0.012;1;1;0.012
399;21;20;0.408;17;17;0.347;4;4;0.082;1;1;0.02;3;2;0.041;2;2;0.041;2;2;0.041
750;3;3;0.115;16;14;0.538;3;3;0.115;1;0;0;1;1;0.038;1;1;0.038;3;2;0.077
402;2;2;0.035;35;35;0.614;7;7;0.123;7;7;0.123;3;3;0.053;1;1;0.018;2;2;0.035
1566;3;2;0.095;7;6;0.286;6;6;0.286;2;2;0.095;2;2;0.095;1;1;0.048;1;1;0.048
405;8;8;0.242;13;13;0.394;4;4;0.121;3;3;0.091;2;2;0.061;1;1;0.03;2;2;0.061
398;7;7;0.212;1;1;0.03;7;7;0.212;12;11;0.333;1;1;0.03;1;1;0.03;5;4;0.121
749;7;6;0.188;1;1;0.031;17;17;0.531;4;3;0.094;1;1;0.031;1;1;0.031;2;2;0.062
753;2;1;0.053;2;1;0.053;3;3;0.158;10;10;0.526;1;1;0.053;1;1;0.053;1;1;0.053
752;4;4;0.073;24;23;0.418;20;18;0.327;1;1;0.018;4;3;0.055;1;1;0.018;3;3;0.055
755;5;4;0.105;5;4;0.105;13;11;0.289;3;3;0.079;13;11;0.289;1;1;0.026;1;1;0.026
757;6;4;0.129;2;1;0.032;18;18;0.581;3;3;0.097;2;1;0.032;1;1;0.032;1;1;0.032
204;1;0;0;2;1;0.067;5;5;0.333;4;4;0.267;1;1;0.067;2;2;0.133;1;1;0.067
205;1;1;0.02;40;39;0.765;3;3;0.059;2;1;0.02;3;3;0.059;2;2;0.039;2;1;0.02
1148;1;1;0.026;4;2;0.053;10;10;0.263;7;5;0.132;9;9;0.237;10;8;0.211;1;0;0
1153;2;1;0.062;7;6;0.375;1;1;0.062;1;1;0.062;1;1;0.062;3;3;0.188;2;2;0.125
1162;2;1;0.036;6;5;0.179;11;10;0.357;1;1;0.036;3;3;0.107;5;4;0.143;3;2;0.071
1154;3;3;0.06;24;23;0.46;7;7;0.14;11;10;0.2;4;4;0.08;1;1;0.02;1;1;0.02
468;1;0;0;3;2;0.08;12;12;0.48;2;2;0.08;3;3;0.12;4;4;0.16;1;1;0.04
1159;3;2;0.059;12;10;0.294;9;9;0.265;6;6;0.176;2;1;0.029;3;3;0.088;2;1;0.029
1657;3;2;0.133;3;2;0.133;3;3;0.2;1;1;0.067;3;3;0.2;1;1;0.067;2;2;0.133
54;2;1;0.037;6;5;0.185;8;8;0.296;7;7;0.259;2;1;0.037;2;2;0.074;2;2;0.074
1157;3;3;0.028;90;89;0.84;2;2;0.019;6;6;0.057;2;2;0.019;3;2;0.019;1;1;0.009
1069;1;0;0;4;3;0.111;17;17;0.63;2;2;0.074;1;1;0.037;2;2;0.074;1;1;0.037
450;2;0;0;4;2;0.051;14;12;0.308;10;7;0.179;3;1;0.026;1;1;0.026;11;10;0.256
1841;1;0;0;10;9;0.214;22;22;0.524;2;1;0.024;6;5;0.119;2;2;0.048;1;1;0.024
1562;8;7;0.35;1;1;0.05;6;6;0.3;1;1;0.05;1;1;0.05;2;2;0.1;2;1;0.05
1005;1;1;0.04;1;1;0.04;4;4;0.16;1;1;0.04;5;5;0.2;8;8;0.32;5;5;0.2
37;8;7;0.28;1;1;0.04;2;2;0.08;3;2;0.08;2;2;0.08;6;6;0.24;4;4;0.16
1505;1;0;0;1;0;0;8;8;0.364;2;2;0.091;3;3;0.136;7;7;0.318;1;1;0.045
1565;8;7;0.241;15;14;0.483;4;4;0.138;1;1;0.034;1;0;0;1;0;0;1;1;0.034
1794;3;3;0.058;36;34;0.654;7;6;0.115;1;0;0;2;1;0.019;4;3;0.058;2;2;0.038
689;1;0;0;2;1;0.062;7;6;0.375;3;3;0.188;2;2;0.125;1;1;0.062;2;1;0.062
967;1;0;0;45;44;0.759;3;2;0.034;7;6;0.103;4;3;0.052;1;0;0;1;0;0
570;3;2;0.067;3;2;0.067;17;15;0.5;4;3;0.1;2;1;0.033;3;2;0.067;3;2;0.067
39;7;6;0.122;11;10;0.204;4;3;0.061;9;8;0.163;3;3;0.061;16;16;0.327;2;1;0.02
53;4;4;0.098;22;21;0.512;6;5;0.122;4;3;0.073;5;5;0.122;1;0;0;1;1;0.024
1558;2;0;0;9;8;0.258;6;5;0.161;3;2;0.065;11;11;0.355;2;2;0.065;1;0;0
86;1;0;0;5;4;0.2;11;11;0.55;1;0;0;1;1;0.05;2;1;0.05;2;1;0.05
52;4;4;0.056;54;53;0.746;9;8;0.113;2;1;0.014;2;2;0.028;1;1;0.014;1;0;0
1057;1;0;0;7;6;0.182;18;17;0.515;2;2;0.061;4;4;0.121;2;1;0.03;2;1;0.03
57;2;1;0.015;48;46;0.697;7;6;0.091;5;5;0.076;1;0;0;7;6;0.091;2;0;0
957;1;0;0;65;59;0.447;48;43;0.326;9;8;0.061;4;3;0.023;4;3;0.023;11;9;0.068
569;2;1;0.029;24;22;0.647;3;2;0.059;2;2;0.059;2;2;0.059;1;1;0.029;2;2;0.059
1542;7;4;0.039;61;58;0.563;34;31;0.301;1;1;0.01;2;1;0.01;1;1;0.01;2;2;0.019
1653;2;1;0.024;31;28;0.683;7;6;0.146;1;1;0.024;1;0;0;1;1;0.024;1;1;0.024
496;1;0;0;17;15;0.357;5;4;0.095;2;2;0.048;8;8;0.19;8;8;0.19;3;3;0.071
59;7;6;0.087;41;40;0.58;6;5;0.072;8;8;0.116;6;6;0.087;1;1;0.014;2;1;0.014
50;5;4;0.16;7;6;0.24;2;2;0.08;4;4;0.16;5;5;0.2;2;2;0.08;1;1;0.04
558;1;0;0;4;3;0.188;7;7;0.438;1;1;0.062;1;1;0.062;1;1;0.062;2;2;0.125
38;3;2;0.091;3;2;0.091;9;9;0.409;3;3;0.136;1;1;0.045;3;3;0.136;1;1;0.045
131;1;0;0;15;12;0.4;12;10;0.333;1;1;0.033;1;1;0.033;3;2;0.067;1;0;0
58;4;3;0.188;3;2;0.125;4;4;0.25;2;2;0.125;1;1;0.062;2;2;0.125;1;1;0.062
1734;1;0;0;1;1;0.043;15;15;0.652;2;2;0.087;1;1;0.043;2;1;0.043;2;2;0.087
51;2;1;0.038;1;0;0;20;20;0.769;1;1;0.038;1;1;0.038;2;1;0.038;1;0;0
79;1;0;0;13;12;0.667;2;2;0.111;1;1;0.056;1;1;0.056;1;0;0;1;0;0
36;3;2;0.08;1;0;0;10;9;0.36;9;8;0.32;2;2;0.08;1;1;0.04;1;1;0.04
1163;1;0;0;19;17;0.386;6;5;0.114;14;13;0.295;2;2;0.045;4;3;0.068;1;1;0.023
1752;1;0;0;36;34;0.618;11;9;0.164;5;4;0.073;3;3;0.055;1;1;0.018;1;1;0.018
567;3;2;0.032;41;39;0.629;15;15;0.242;1;1;0.016;2;0;0;2;2;0.032;1;0;0
41;2;1;0.043;2;1;0.043;14;14;0.609;3;3;0.13;1;0;0;2;2;0.087;1;0;0
1088;1;0;0;1;1;0.059;7;7;0.412;6;6;0.353;1;0;0;1;1;0.059;1;1;0.059
817;1;0;0;8;7;0.226;15;15;0.484;2;2;0.065;3;3;0.097;2;2;0.065;1;1;0.032
1793;3;2;0.022;62;59;0.656;21;19;0.211;3;1;0.011;1;1;0.011;3;3;0.033;1;1;0.011
944;1;0;0;10;9;0.273;13;13;0.394;3;2;0.061;1;1;0.03;1;1;0.03;6;5;0.152
43;15;14;0.378;3;3;0.081;10;10;0.27;3;3;0.081;1;1;0.027;3;3;0.081;3;2;0.054
559;1;1;0.077;3;3;0.231;4;4;0.308;2;2;0.154;1;1;0.077;1;1;0.077;1;1;0.077
1544;2;1;0.015;6;4;0.06;54;53;0.791;3;3;0.045;1;1;0.015;1;1;0.015;2;2;0.03
452;2;1;0.029;25;24;0.706;2;2;0.059;3;3;0.088;1;1;0.029;1;1;0.029;1;1;0.029
443;2;1;0.067;3;2;0.133;4;4;0.267;2;1;0.067;1;1;0.067;4;4;0.267;1;0;0
34;3;2;0.125;6;4;0.25;3;2;0.125;3;2;0.125;1;1;0.062;3;2;0.125;1;0;0
