Layer name;Wed_Mar_24_02_11_55_2004---Sat_Apr_24_00_30_38_2004;Wed_Mar_24_02_11_55_2004---Sat_Apr_24_00_30_38_2004;Wed_Mar_24_02_11_55_2004---Sat_Apr_24_00_30_38_2004;Sat_Apr_24_00_57_38_2004---Mon_May_24_21_44_12_2004;Sat_Apr_24_00_57_38_2004---Mon_May_24_21_44_12_2004;Sat_Apr_24_00_57_38_2004---Mon_May_24_21_44_12_2004;Mon_May_24_21_48_09_2004---Thu_Jun_24_18_43_14_2004;Mon_May_24_21_48_09_2004---Thu_Jun_24_18_43_14_2004;Mon_May_24_21_48_09_2004---Thu_Jun_24_18_43_14_2004;Thu_Jun_24_21_25_43_2004---Sun_Jul_25_15_52_25_2004;Thu_Jun_24_21_25_43_2004---Sun_Jul_25_15_52_25_2004;Thu_Jun_24_21_25_43_2004---Sun_Jul_25_15_52_25_2004;Sun_Jul_25_16_22_15_2004---Wed_Aug_25_13_23_15_2004;Sun_Jul_25_16_22_15_2004---Wed_Aug_25_13_23_15_2004;Sun_Jul_25_16_22_15_2004---Wed_Aug_25_13_23_15_2004;Wed_Aug_25_15_03_21_2004---Sat_Sep_25_10_18_52_2004;Wed_Aug_25_15_03_21_2004---Sat_Sep_25_10_18_52_2004;Wed_Aug_25_15_03_21_2004---Sat_Sep_25_10_18_52_2004;Sat_Sep_25_16_29_27_2004---Tue_Oct_26_07_52_22_2004;Sat_Sep_25_16_29_27_2004---Tue_Oct_26_07_52_22_2004;Sat_Sep_25_16_29_27_2004---Tue_Oct_26_07_52_22_2004
1270;30.0;25.0;0.287;5.0;4.0;0.046;43.0;40.0;0.46;3.0;1.0;0.011;3.0;1.0;0.011;7.0;5.0;0.057;6.0;3.0;0.034
1483;16.0;14.0;0.326;8.0;8.0;0.186;4.0;3.0;0.07;10.0;9.0;0.209;3.0;2.0;0.047;4.0;3.0;0.07;2.0;1.0;0.023
1512;11.0;9.0;0.064;20.0;18.0;0.128;87.0;80.0;0.567;23.0;15.0;0.106;2.0;1.0;0.007;10.0;7.0;0.05;1.0;0.0;0.0
1077;4.0;4.0;0.154;6.0;6.0;0.231;6.0;5.0;0.192;1.0;0.0;0.0;4.0;3.0;0.115;7.0;6.0;0.231;1.0;0.0;0.0
671;2.0;2.0;0.1;5.0;5.0;0.25;1.0;0.0;0.0;6.0;5.0;0.25;4.0;3.0;0.15;3.0;2.0;0.1;2.0;1.0;0.05
1771;1.0;1.0;0.031;1.0;1.0;0.031;10.0;9.0;0.281;10.0;9.0;0.281;2.0;1.0;0.031;1.0;1.0;0.031;9.0;8.0;0.25
615;1.0;0.0;0.0;10.0;10.0;0.556;1.0;0.0;0.0;3.0;3.0;0.167;2.0;1.0;0.056;2.0;1.0;0.056;1.0;1.0;0.056
941;1.0;1.0;0.017;1.0;1.0;0.017;43.0;41.0;0.707;9.0;7.0;0.121;1.0;1.0;0.017;1.0;1.0;0.017;5.0;4.0;0.069
566;4.0;4.0;0.16;5.0;5.0;0.2;4.0;3.0;0.12;4.0;2.0;0.08;10.0;8.0;0.32;1.0;0.0;0.0;1.0;0.0;0.0
1864;21.0;18.0;0.261;13.0;8.0;0.116;10.0;8.0;0.116;22.0;15.0;0.217;5.0;2.0;0.029;5.0;4.0;0.058;5.0;4.0;0.058
1031;1.0;1.0;0.021;36.0;33.0;0.688;3.0;2.0;0.042;8.0;4.0;0.083;1.0;0.0;0.0;1.0;1.0;0.021;3.0;3.0;0.062
438;1.0;1.0;0.02;17.0;16.0;0.314;2.0;2.0;0.039;2.0;1.0;0.02;26.0;26.0;0.51;2.0;2.0;0.039;2.0;2.0;0.039
1073;3.0;2.0;0.182;1.0;0.0;0.0;2.0;2.0;0.182;4.0;3.0;0.273;1.0;0.0;0.0;1.0;0.0;0.0;2.0;2.0;0.182
1083;4.0;3.0;0.094;1.0;1.0;0.031;17.0;15.0;0.469;4.0;3.0;0.094;6.0;5.0;0.156;2.0;1.0;0.031;2.0;1.0;0.031
672;3.0;1.0;0.02;25.0;22.0;0.431;3.0;2.0;0.039;15.0;12.0;0.235;10.0;6.0;0.118;2.0;0.0;0.0;1.0;1.0;0.02
317;1.0;1.0;0.004;216.0;206.0;0.821;34.0;27.0;0.108;5.0;3.0;0.012;1.0;0.0;0.0;4.0;2.0;0.008;1.0;1.0;0.004
748;3.0;3.0;0.086;1.0;1.0;0.029;9.0;9.0;0.257;1.0;1.0;0.029;3.0;2.0;0.057;18.0;17.0;0.486;1.0;1.0;0.029
993;3.0;1.0;0.01;66.0;56.0;0.56;20.0;13.0;0.13;19.0;12.0;0.12;2.0;1.0;0.01;3.0;2.0;0.02;3.0;2.0;0.02
673;4.0;3.0;0.077;10.0;10.0;0.256;5.0;4.0;0.103;12.0;11.0;0.282;4.0;3.0;0.077;3.0;2.0;0.051;4.0;4.0;0.103
203;1.0;1.0;0.006;88.0;77.0;0.443;86.0;73.0;0.42;2.0;1.0;0.006;10.0;6.0;0.034;2.0;0.0;0.0;1.0;1.0;0.006
678;14.0;11.0;0.141;14.0;12.0;0.154;30.0;24.0;0.308;12.0;10.0;0.128;4.0;3.0;0.038;10.0;8.0;0.103;3.0;2.0;0.026
56;7.0;5.0;0.033;104.0;95.0;0.621;39.0;31.0;0.203;4.0;4.0;0.026;1.0;1.0;0.007;7.0;4.0;0.026;3.0;2.0;0.013
670;3.0;1.0;0.037;17.0;15.0;0.556;3.0;1.0;0.037;1.0;1.0;0.037;2.0;1.0;0.037;4.0;2.0;0.074;2.0;1.0;0.037
1078;2.0;1.0;0.022;8.0;7.0;0.152;29.0;26.0;0.565;3.0;2.0;0.043;1.0;0.0;0.0;6.0;5.0;0.109;1.0;1.0;0.022
192;1.0;0.0;0.0;7.0;5.0;0.062;59.0;57.0;0.704;6.0;6.0;0.074;1.0;0.0;0.0;6.0;6.0;0.074;5.0;3.0;0.037
1480;7.0;5.0;0.082;33.0;31.0;0.508;19.0;19.0;0.311;1.0;0.0;0.0;1.0;0.0;0.0;2.0;2.0;0.033;2.0;1.0;0.016
918;1.0;1.0;0.026;12.0;11.0;0.289;5.0;4.0;0.105;16.0;13.0;0.342;1.0;0.0;0.0;3.0;3.0;0.079;4.0;3.0;0.079
361;1.0;1.0;0.04;14.0;14.0;0.56;3.0;2.0;0.08;3.0;2.0;0.08;5.0;4.0;0.16;1.0;0.0;0.0;1.0;0.0;0.0
152;1.0;1.0;0.029;11.0;10.0;0.286;6.0;6.0;0.171;12.0;11.0;0.314;4.0;3.0;0.086;1.0;0.0;0.0;3.0;2.0;0.057
26;1.0;1.0;0.018;36.0;36.0;0.632;8.0;8.0;0.14;9.0;9.0;0.158;1.0;1.0;0.018;1.0;1.0;0.018;1.0;1.0;0.018
676;2.0;1.0;0.029;5.0;5.0;0.147;8.0;8.0;0.235;6.0;6.0;0.176;8.0;8.0;0.235;5.0;4.0;0.118;1.0;1.0;0.029
1075;2.0;2.0;0.032;24.0;24.0;0.381;24.0;24.0;0.381;5.0;4.0;0.063;5.0;5.0;0.079;2.0;1.0;0.016;3.0;2.0;0.032
1563;4.0;3.0;0.049;32.0;30.0;0.492;17.0;16.0;0.262;9.0;8.0;0.131;2.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0
568;2.0;1.0;0.017;42.0;40.0;0.69;2.0;1.0;0.017;7.0;6.0;0.103;3.0;1.0;0.017;4.0;4.0;0.069;2.0;1.0;0.017
1545;2.0;2.0;0.019;72.0;70.0;0.68;15.0;14.0;0.136;14.0;11.0;0.107;2.0;1.0;0.01;2.0;0.0;0.0;1.0;0.0;0.0
1076;3.0;2.0;0.044;17.0;15.0;0.333;19.0;19.0;0.422;2.0;1.0;0.022;5.0;4.0;0.089;1.0;0.0;0.0;1.0;1.0;0.022
1631;1.0;0.0;0.0;13.0;10.0;0.312;2.0;1.0;0.031;16.0;14.0;0.438;1.0;0.0;0.0;2.0;1.0;0.031;3.0;2.0;0.062
1072;3.0;2.0;0.027;27.0;24.0;0.324;26.0;23.0;0.311;8.0;7.0;0.095;15.0;13.0;0.176;1.0;0.0;0.0;1.0;0.0;0.0
1529;1.0;1.0;0.018;1.0;1.0;0.018;18.0;17.0;0.309;4.0;2.0;0.036;25.0;24.0;0.436;7.0;6.0;0.109;2.0;2.0;0.036
1650;6.0;4.0;0.148;2.0;2.0;0.074;10.0;8.0;0.296;8.0;7.0;0.259;1.0;0.0;0.0;2.0;1.0;0.037;3.0;2.0;0.074
369;1.0;0.0;0.0;8.0;7.0;0.092;6.0;3.0;0.039;4.0;4.0;0.053;3.0;2.0;0.026;57.0;54.0;0.711;3.0;2.0;0.026
1557;4.0;4.0;0.077;2.0;2.0;0.038;37.0;37.0;0.712;3.0;2.0;0.038;5.0;4.0;0.077;3.0;2.0;0.038;1.0;0.0;0.0
818;1.0;1.0;0.018;18.0;18.0;0.316;24.0;23.0;0.404;6.0;4.0;0.07;3.0;1.0;0.018;1.0;0.0;0.0;9.0;7.0;0.123
1071;2.0;1.0;0.017;45.0;43.0;0.717;11.0;10.0;0.167;1.0;1.0;0.017;1.0;1.0;0.017;1.0;1.0;0.017;1.0;1.0;0.017
1066;1.0;1.0;0.008;14.0;11.0;0.083;1.0;0.0;0.0;100.0;93.0;0.699;22.0;18.0;0.135;2.0;1.0;0.008;2.0;2.0;0.015
1158;6.0;5.0;0.179;5.0;3.0;0.107;11.0;9.0;0.321;2.0;1.0;0.036;1.0;0.0;0.0;4.0;3.0;0.107;4.0;4.0;0.143
1537;2.0;1.0;0.037;4.0;2.0;0.074;13.0;11.0;0.407;8.0;7.0;0.259;1.0;0.0;0.0;1.0;1.0;0.037;2.0;2.0;0.074
523;1.0;0.0;0.0;16.0;14.0;0.519;4.0;3.0;0.111;3.0;3.0;0.111;3.0;2.0;0.074;2.0;2.0;0.074;1.0;1.0;0.037
573;2.0;1.0;0.023;4.0;3.0;0.068;24.0;24.0;0.545;5.0;5.0;0.114;1.0;1.0;0.023;5.0;4.0;0.091;5.0;4.0;0.091
1855;9.0;9.0;0.188;16.0;16.0;0.333;11.0;11.0;0.229;8.0;8.0;0.167;2.0;2.0;0.042;1.0;0.0;0.0;2.0;1.0;0.021
278;1.0;0.0;0.0;58.0;58.0;0.806;8.0;8.0;0.111;1.0;1.0;0.014;1.0;1.0;0.014;2.0;2.0;0.028;2.0;1.0;0.014
55;3.0;2.0;0.017;5.0;4.0;0.034;12.0;10.0;0.084;100.0;97.0;0.815;1.0;0.0;0.0;2.0;1.0;0.008;1.0;1.0;0.008
362;1.0;1.0;0.024;28.0;27.0;0.643;4.0;2.0;0.048;3.0;2.0;0.048;5.0;5.0;0.119;1.0;0.0;0.0;3.0;3.0;0.071
1482;4.0;3.0;0.051;12.0;11.0;0.186;31.0;30.0;0.508;1.0;1.0;0.017;6.0;5.0;0.085;3.0;3.0;0.051;4.0;4.0;0.068
223;1.0;1.0;0.024;16.0;16.0;0.381;15.0;14.0;0.333;1.0;1.0;0.024;7.0;6.0;0.143;2.0;2.0;0.048;1.0;1.0;0.024
1484;2.0;1.0;0.042;6.0;5.0;0.208;9.0;7.0;0.292;1.0;1.0;0.042;6.0;5.0;0.208;2.0;0.0;0.0;2.0;1.0;0.042
1789;3.0;2.0;0.133;4.0;3.0;0.2;6.0;5.0;0.333;2.0;2.0;0.133;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0
756;4.0;4.0;0.121;1.0;1.0;0.03;12.0;11.0;0.333;1.0;1.0;0.03;1.0;0.0;0.0;13.0;13.0;0.394;2.0;2.0;0.061
433;1.0;0.0;0.0;8.0;5.0;0.111;14.0;12.0;0.267;2.0;2.0;0.044;22.0;18.0;0.4;2.0;2.0;0.044;2.0;1.0;0.022
553;1.0;0.0;0.0;2.0;1.0;0.048;2.0;1.0;0.048;1.0;1.0;0.048;8.0;7.0;0.333;2.0;2.0;0.095;8.0;7.0;0.333
1079;2.0;1.0;0.019;33.0;32.0;0.604;11.0;11.0;0.208;1.0;1.0;0.019;1.0;0.0;0.0;3.0;3.0;0.057;4.0;3.0;0.057
1485;4.0;3.0;0.071;16.0;15.0;0.357;7.0;6.0;0.143;2.0;2.0;0.048;12.0;11.0;0.262;3.0;2.0;0.048;2.0;0.0;0.0
94;1.0;1.0;0.048;8.0;8.0;0.381;7.0;7.0;0.333;1.0;1.0;0.048;1.0;0.0;0.0;4.0;3.0;0.143;1.0;0.0;0.0
1790;2.0;0.0;0.0;49.0;46.0;0.719;1.0;0.0;0.0;2.0;2.0;0.031;12.0;11.0;0.172;1.0;0.0;0.0;2.0;1.0;0.016
1494;1.0;0.0;0.0;145.0;143.0;0.861;15.0;15.0;0.09;1.0;1.0;0.006;3.0;3.0;0.018;2.0;2.0;0.012;1.0;0.0;0.0
1112;1.0;0.0;0.0;8.0;6.0;0.207;3.0;1.0;0.034;2.0;2.0;0.069;9.0;5.0;0.172;1.0;1.0;0.034;11.0;9.0;0.31
1488;2.0;1.0;0.022;2.0;1.0;0.022;19.0;18.0;0.391;1.0;1.0;0.022;22.0;21.0;0.457;2.0;2.0;0.043;1.0;0.0;0.0
447;2.0;1.0;0.053;2.0;1.0;0.053;8.0;7.0;0.368;2.0;2.0;0.105;2.0;1.0;0.053;4.0;4.0;0.211;1.0;1.0;0.053
1080;3.0;3.0;0.081;3.0;3.0;0.081;19.0;19.0;0.514;7.0;7.0;0.189;1.0;1.0;0.027;1.0;1.0;0.027;3.0;3.0;0.081
333;1.0;1.0;0.012;59.0;57.0;0.679;13.0;11.0;0.131;4.0;4.0;0.048;4.0;4.0;0.048;2.0;2.0;0.024;3.0;3.0;0.036
1255;1.0;1.0;0.062;4.0;4.0;0.25;5.0;4.0;0.25;2.0;2.0;0.125;4.0;4.0;0.25;1.0;0.0;0.0;1.0;0.0;0.0
1411;1.0;1.0;0.007;71.0;67.0;0.482;17.0;11.0;0.079;1.0;0.0;0.0;57.0;51.0;0.367;1.0;0.0;0.0;1.0;0.0;0.0
561;1.0;1.0;0.014;34.0;31.0;0.443;12.0;11.0;0.157;17.0;15.0;0.214;7.0;7.0;0.1;1.0;1.0;0.014;1.0;1.0;0.014
978;1.0;0.0;0.0;4.0;2.0;0.043;27.0;26.0;0.553;12.0;11.0;0.234;2.0;1.0;0.021;3.0;3.0;0.064;1.0;1.0;0.021
1374;1.0;1.0;0.029;1.0;1.0;0.029;16.0;16.0;0.457;7.0;6.0;0.171;7.0;5.0;0.143;2.0;1.0;0.029;3.0;3.0;0.086
821;1.0;1.0;0.025;1.0;1.0;0.025;17.0;15.0;0.375;1.0;0.0;0.0;2.0;2.0;0.05;17.0;16.0;0.4;3.0;3.0;0.075
1540;3.0;3.0;0.057;4.0;4.0;0.075;26.0;25.0;0.472;1.0;0.0;0.0;9.0;8.0;0.151;1.0;1.0;0.019;11.0;10.0;0.189
198;1.0;1.0;0.026;8.0;8.0;0.205;23.0;22.0;0.564;5.0;4.0;0.103;1.0;1.0;0.026;1.0;1.0;0.026;1.0;1.0;0.026
572;2.0;1.0;0.045;1.0;1.0;0.045;6.0;5.0;0.227;6.0;5.0;0.227;5.0;5.0;0.227;1.0;1.0;0.045;3.0;2.0;0.091
214;1.0;0.0;0.0;1.0;1.0;0.033;17.0;15.0;0.5;3.0;2.0;0.067;3.0;3.0;0.1;5.0;5.0;0.167;3.0;1.0;0.033
322;1.0;0.0;0.0;31.0;30.0;0.556;7.0;6.0;0.111;2.0;1.0;0.019;11.0;10.0;0.185;1.0;1.0;0.019;4.0;3.0;0.056
1486;2.0;1.0;0.02;31.0;30.0;0.588;6.0;4.0;0.078;2.0;2.0;0.039;6.0;4.0;0.078;1.0;1.0;0.02;7.0;5.0;0.098
1559;2.0;0.0;0.0;4.0;1.0;0.024;21.0;20.0;0.488;10.0;10.0;0.244;4.0;2.0;0.049;1.0;1.0;0.024;3.0;3.0;0.073
1630;1.0;0.0;0.0;29.0;28.0;0.406;14.0;12.0;0.174;21.0;20.0;0.29;2.0;1.0;0.014;4.0;4.0;0.058;2.0;1.0;0.014
308;1.0;1.0;0.034;2.0;2.0;0.069;10.0;10.0;0.345;8.0;7.0;0.241;7.0;6.0;0.207;1.0;1.0;0.034;1.0;1.0;0.034
15;1.0;0.0;0.0;2.0;1.0;0.014;58.0;58.0;0.841;6.0;6.0;0.087;1.0;1.0;0.014;1.0;1.0;0.014;2.0;1.0;0.014
442;1.0;0.0;0.0;2.0;1.0;0.018;29.0;28.0;0.491;10.0;10.0;0.175;14.0;13.0;0.228;1.0;1.0;0.018;2.0;2.0;0.035
1755;1.0;1.0;0.021;25.0;24.0;0.5;17.0;17.0;0.354;1.0;0.0;0.0;3.0;3.0;0.062;1.0;1.0;0.021;1.0;1.0;0.021
403;2.0;2.0;0.022;73.0;70.0;0.761;14.0;12.0;0.13;3.0;2.0;0.022;1.0;1.0;0.011;1.0;1.0;0.011;1.0;1.0;0.011
1111;1.0;1.0;0.042;1.0;1.0;0.042;2.0;2.0;0.083;16.0;16.0;0.667;1.0;1.0;0.042;1.0;1.0;0.042;2.0;2.0;0.083
202;1.0;0.0;0.0;3.0;3.0;0.176;6.0;6.0;0.353;2.0;1.0;0.059;2.0;2.0;0.118;1.0;1.0;0.059;3.0;3.0;0.176
1479;3.0;2.0;0.065;2.0;1.0;0.032;13.0;12.0;0.387;2.0;2.0;0.065;9.0;8.0;0.258;1.0;1.0;0.032;3.0;3.0;0.097
1049;1.0;0.0;0.0;39.0;36.0;0.6;15.0;14.0;0.233;1.0;1.0;0.017;1.0;1.0;0.017;1.0;1.0;0.017;5.0;4.0;0.067
1618;1.0;0.0;0.0;9.0;6.0;0.214;10.0;9.0;0.321;8.0;8.0;0.286;2.0;1.0;0.036;1.0;1.0;0.036;1.0;0.0;0.0
1863;3.0;2.0;0.074;4.0;3.0;0.111;8.0;8.0;0.296;4.0;4.0;0.148;6.0;5.0;0.185;1.0;1.0;0.037;3.0;3.0;0.111
1857;5.0;4.0;0.167;2.0;2.0;0.083;4.0;4.0;0.167;3.0;3.0;0.125;4.0;4.0;0.167;1.0;1.0;0.042;6.0;5.0;0.208
1858;3.0;3.0;0.12;13.0;13.0;0.52;3.0;3.0;0.12;3.0;3.0;0.12;1.0;1.0;0.04;1.0;1.0;0.04;1.0;1.0;0.04
404;2.0;2.0;0.032;51.0;50.0;0.794;4.0;4.0;0.063;4.0;2.0;0.032;1.0;1.0;0.016;1.0;1.0;0.016;2.0;1.0;0.016
42;3.0;2.0;0.062;5.0;5.0;0.156;8.0;8.0;0.25;4.0;3.0;0.094;3.0;3.0;0.094;1.0;1.0;0.031;10.0;8.0;0.25
1856;2.0;1.0;0.029;2.0;1.0;0.029;19.0;19.0;0.543;1.0;1.0;0.029;1.0;1.0;0.029;10.0;10.0;0.286;2.0;1.0;0.029
1861;2.0;1.0;0.019;28.0;28.0;0.528;11.0;10.0;0.189;6.0;6.0;0.113;3.0;3.0;0.057;1.0;1.0;0.019;3.0;3.0;0.057
409;4.0;4.0;0.042;35.0;31.0;0.323;49.0;44.0;0.458;2.0;1.0;0.01;7.0;7.0;0.073;1.0;0.0;0.0;4.0;4.0;0.042
1160;3.0;2.0;0.059;18.0;16.0;0.471;10.0;8.0;0.235;3.0;2.0;0.059;2.0;2.0;0.059;1.0;0.0;0.0;1.0;1.0;0.029
1862;2.0;1.0;0.034;2.0;1.0;0.034;19.0;19.0;0.655;1.0;0.0;0.0;4.0;3.0;0.103;1.0;1.0;0.034;2.0;2.0;0.069
1161;8.0;6.0;0.231;8.0;6.0;0.231;5.0;3.0;0.115;6.0;5.0;0.192;2.0;1.0;0.038;1.0;1.0;0.038;1.0;0.0;0.0
1564;4.0;4.0;0.138;9.0;9.0;0.31;2.0;1.0;0.034;10.0;10.0;0.345;3.0;3.0;0.103;1.0;1.0;0.034;1.0;0.0;0.0
408;2.0;1.0;0.038;5.0;4.0;0.154;4.0;4.0;0.154;2.0;2.0;0.077;12.0;12.0;0.462;1.0;1.0;0.038;1.0;1.0;0.038
237;1.0;0.0;0.0;7.0;6.0;0.261;8.0;8.0;0.348;3.0;3.0;0.13;3.0;3.0;0.13;1.0;1.0;0.043;1.0;1.0;0.043
1786;2.0;2.0;0.025;2.0;2.0;0.025;68.0;68.0;0.861;1.0;1.0;0.013;4.0;4.0;0.051;1.0;1.0;0.013;1.0;1.0;0.013
406;5.0;4.0;0.085;5.0;4.0;0.085;26.0;26.0;0.553;1.0;1.0;0.021;2.0;2.0;0.043;1.0;1.0;0.021;8.0;8.0;0.17
754;2.0;2.0;0.022;19.0;17.0;0.187;65.0;61.0;0.67;3.0;2.0;0.022;3.0;2.0;0.022;1.0;1.0;0.011;2.0;2.0;0.022
1561;3.0;3.0;0.176;1.0;1.0;0.059;4.0;3.0;0.176;6.0;5.0;0.294;1.0;1.0;0.059;1.0;1.0;0.059;2.0;2.0;0.118
1788;2.0;1.0;0.021;27.0;25.0;0.521;12.0;11.0;0.229;6.0;6.0;0.125;1.0;1.0;0.021;1.0;1.0;0.021;1.0;1.0;0.021
1860;2.0;2.0;0.1;1.0;0.0;0.0;11.0;10.0;0.5;4.0;4.0;0.2;1.0;1.0;0.05;1.0;1.0;0.05;1.0;1.0;0.05
